symptom,details,level,answer
fever,38.4℃ 이하,1,예방접종 후에 나타나는 발열은 백신으로 인한 면역반응일 가능성이 높습니다. 예방접종 후 발열이 있는 경우 수분을 충분히 섭취하고 휴식하며 해열진통제가 도움이 될 수 있습니다.
fever,38.5-38.9℃,1,예방접종 후에 나타나는 발열은 백신으로 인한 면역반응일 가능성이 높습니다. 예방접종 후 발열이 있는 경우 수분을 충분히 섭취하고 휴식하며 해열진통제가 도움이 될 수 있습니다.
fever,39.0-40℃,2,예방접종 후 발열이 있는 경우 수분을 충분히 섭취하고 휴식하며 해열진통제가 도움이 될 수 있습니다. 500mg 1~2정을 6시간 간격으로 8정(4g)까지 복용 가능하며 해열진통제를 복용할 때는 다른 의약품과 마찬가지로 복용시 주의사항을 확인하시기 바랍니다. 접종 후 해열진통제를 복용하여도 열이 떨어지지 않거나 발열이 2일(48시간) 이상 지속되는 경우 의사의 진료가 필요하므로 의료기관을 방문하여 진료를 받으시기 바랍니다.
fever,40.1℃ 이상,2,예방접종 후 발열이 있는 경우 수분을 충분히 섭취하고 휴식하며 해열진통제가 도움이 될 수 있습니다. 500mg 1~2정을 6시간 간격으로 8정(4g)까지 복용 가능하며 해열진통제를 복용할 때는 다른 의약품과 마찬가지로 복용시 주의사항을 확인하시기 바랍니다. 접종 후 해열진통제를 복용하여도 열이 떨어지지 않거나 발열이 2일(48시간) 이상 지속되는 경우 의사의 진료가 필요하므로 의료기관을 방문하여 진료를 받으시기 바랍니다.
ino_area,통증은 있으나 약 먹을 정도는 아님,1,접종 후 당일과 다음날까지는 접종 부위가 뻐근하고 움직일 때 약간 불편할 수 있습니다. 예방접종 후 발생할 수 있는 자연스러운 염증반응 입니다.
ino_area,1~2일 약을 먹어야 팔을 움직이는데 지장이 없음,1,접종 후 당일과 다음날까지는 접종 부위가 뻐근하고 움직일 때 약간 불편할 수 있습니다. 예방접종 후 발생할 수 있는 자연스러운 염증반응 입니다. 접종부위에 깨끗한 마른 수건을 대고 그 위에 냉찜질을 하면 증상완화에 도움이 됩니다.
ino_area,3일 이상 통증이 지속되거나 약을 먹어도 통증조절이 안되어 팔을 움직이기 어려운 경우,2,의사의 진료가 필요한 증상으로 의료기관을 방문하여 진료를 받으시기 바랍니다.
swell,직경 5cm 이하,1,접종 부위가 부은 느낌이 들거나 실제 부었더라도 활동에 지장이 없다면 수일 내 자연 호전 됩니다. 흔한 접종 부위 반응 중 하나 입니다. 접종부위에 깨끗한 마른 수건을 대고 그 위에 냉찜질을 하면 증상완화에 도움이 됩니다. 단 부기 단계에 상관없이 24시간 이상 증상이 지속되는 경우 병원을 방문하여 접종력을 설명하고 의사의 진료를 받으시기 바랍니다.
swell,5.1~10cm 움직이기 불편,1,접종 부위가 부은 느낌이 들거나 실제 부었더라도 활동에 지장이 없다면 수일 내 자연 호전 됩니다. 흔한 접종 부위 반응 중 하나 입니다. 접종부위에 깨끗한 마른 수건을 대고 그 위에 냉찜질을 하면 증상완화에 도움이 됩니다. 단 부기 단계에 상관없이 24시간 이상 증상이 지속되는 경우 병원을 방문하여 접종력을 설명하고 의사의 진료를 받으시기 바랍니다.
swell,10cm 이상 활동 어려움,2,의사의 진료가 필요한 증상으로 의료기관을 방문하여 진료를 받으시기 바랍니다.
swell,농양,2,의사의 진료가 필요한 증상으로 의료기관을 방문하여 진료를 받으시기 바랍니다.
sick,일상생활이 불편한 정도는 아님,1,백신으로 인한 메스꺼움이나 구토 증상이 발생하는 경우는 매우 드뭅니다. 일상생활에 지장이 없는 정도라면 시간이 지나며 점차 호전됩니다.
sick,하루(24시간)에 1~2회 발생,1,백신으로 인한 메스꺼움이나 구토 증상이 발생하는 경우는 매우 드뭅니다. 일상생활에 지장이 없는 정도라면 시간이 지나며 점차 호전됩니다.
sick,하루(24시간)에 3회 이상 발생,2,하루 3회 이상으로 일상생활이 어려울 정도로 지속되거나 어지럼증/입마름/복통과 탈수 증상이 동반되면 수액 치료가 필요할 수 있으므로 병원을 방문하여 예방접종력을 설명하고 의사의 진료를 받으시기 바랍니다.
pain,두통,2,일상생활에 방해가 되지 않는 정도라면 경과 관찰하시기 바랍니다. 일상생활이 방해 받을 정도이고 진통제를 24시간 이상 반복적으로 복용할 정도의 통증이 지속되면 의료기관을 방문하시기 바랍니다.
pain,관절통,2,일상생활에 방해가 되지 않는 정도라면 경과 관찰하시기 바랍니다. 일상생활이 방해 받을 정도이고 진통제를 24시간 이상 반복적으로 복용할 정도의 통증이 지속되면 의료기관을 방문하시기 바랍니다.
pain,근육통,2,일상생활에 방해가 되지 않는 정도라면 경과 관찰하시기 바랍니다. 일상생활이 방해 받을 정도이고 진통제를 24시간 이상 반복적으로 복용할 정도의 통증이 지속되면 의료기관을 방문하시기 바랍니다.
fatigue,피로감 증상 있음,1,접종 당일 심한 피로감을 호소하는 경우가 보고되고 있습니다. 이런 경우는 휴식하여 주십시오. 만일 일상생활에 방해받을 정도로 심한 피로감이 있다면 의료기관을 방문하시기 바랍니다.
allergy,발진,2,백신에 들어있는 성분이 드물게 알레르기 반응을 일으킬 수 있습니다. 증상이 호전되지 않거나 더 진행되는 경우 반드시 의료기관을 방문하기시 바랍니다.
allergy,두드러기,2,백신에 들어있는 성분이 드물게 알레르기 반응을 일으킬 수 있습니다. 증상이 호전되지 않거나 더 진행되는 경우 반드시 의료기관을 방문하기시 바랍니다.
allergy,소양감(가려움증),2,백신에 들어있는 성분이 드물게 알레르기 반응을 일으킬 수 있습니다. 증상이 호전되지 않거나 더 진행되는 경우 반드시 의료기관을 방문하기시 바랍니다.
allergy,부기(얼굴/입술),2,백신에 들어있는 성분이 드물게 알레르기 반응을 일으킬 수 있습니다. 증상이 호전되지 않거나 더 진행되는 경우 반드시 의료기관을 방문하기시 바랍니다.
etc,기타 이상 반응,2,기타 이상반응은 병원을 방문하여 백신 접종력을 설명하고 의사의 진료를 받으시기 바랍니다.